Date,Activity Type,Distance (km),Total Time (min)
2025-09-10,Running,4,30
2025-09-12,Running,6,54
2025-09-14,Running,7,51
2025-09-17,Running,4.5,36.5
2025-09-19,Running,6.5,53.5
2025-09-21,Running,7.5,52.5
2025-09-24,Running,5,36
2025-09-26,Running,7,49.5
2025-09-28,Running,8,48
2025-10-01,Running,5,35
2025-10-03,Running,7.5,52.5
2025-10-05,Running,8.5,52.75
2025-10-08,Running,6,41.4
2025-10-10,Running,8,49.8
2025-10-12,Running,9,45
2025-10-15,Running,6,40.8
2025-10-17,Running,8.5,49.5
2025-10-19,Running,9.5,44.4
2025-10-22,Running,6,40
2025-10-24,Running,9,49
2025-10-26,Running,10,72
2025-10-29,Running,4,27.2
2025-10-31,Running,6,49.8
2025-11-02,Running,8,48
